StoreID,StoreName,RetailChain,StoreType,FloorAreaSQM,County,Region,Town,CreatedDate,LastUpdatedDate,IsActive
STR001,Tuskys Naivasha Branch,Tuskys,Hypermarket,8563,Nakuru,Rift Valley,Naivasha,2016-05-16,2022-07-04,True
STR002,Quickmart Kitale Branch,Quickmart,Express,1692,Trans Nzoia,Rift Valley,Kitale,2019-02-25,2020-12-23,True
STR003,Eastmatt Kakamega Town Branch,Eastmatt,Hypermarket,8191,Kakamega,Western,Kakamega Town,2016-03-23,2022-08-11,True
STR004,Naivas Maua Branch,Naivas,Express,1733,Meru,Eastern,Maua,2018-08-23,2024-09-15,True
STR005,Carrefour Diani Branch,Carrefour,Express,1284,Kwale,Coast,Diani,2019-07-16,2020-01-28,True
STR006,Quickmart Kikuyu Branch,Quickmart,Express,1348,Kiambu,Central,Kikuyu,2016-07-23,2021-09-29,True
STR007,Carrefour Kisumu City Branch,Carrefour,Express,1344,Kisumu,Nyanza,Kisumu City,2015-07-29,2021-01-15,True
STR008,Eastmatt Bungoma Town Branch,Eastmatt,Hypermarket,9735,Bungoma,Western,Bungoma Town,2016-12-05,2022-12-20,True
STR009,Naivas Nakuru Town Branch,Naivas,Express,1549,Nakuru,Rift Valley,Nakuru Town,2015-09-13,2024-03-31,True
STR010,Tuskys Meru Town Branch,Tuskys,Express,1849,Meru,Eastern,Meru Town,2018-07-11,2024-01-22,True
STR011,Carrefour Nakuru Town Branch,Carrefour,Express,1046,Nakuru,Rift Valley,Nakuru Town,2018-09-16,2022-07-23,True
STR012,Chandarana Kilifi Town Branch,Chandarana,Express,1875,Kilifi,Coast,Kilifi Town,2016-04-21,2021-02-18,True
STR013,Eastmatt Murang'a Town Branch,Eastmatt,Supermarket,4301,Murang'a,Central,Murang'a Town,2019-09-05,2024-02-04,True
STR014,Quickmart Nakuru Town Branch,Quickmart,Supermarket,3429,Nakuru,Rift Valley,Nakuru Town,2018-10-04,2022-12-30,True
STR015,Tuskys Kasarani Branch,Tuskys,Express,1175,Nairobi,Nairobi,Kasarani,2017-12-29,2022-09-30,True
STR016,Quickmart Makutano Branch,Quickmart,Express,1276,Meru,Eastern,Makutano,2018-08-03,2022-06-19,True
STR017,Cleanshelf Gilgil Branch,Cleanshelf,Express,1794,Nakuru,Rift Valley,Gilgil,2015-04-25,2022-07-28,True
STR018,Naivas Nanyuki Branch,Naivas,Express,1410,Laikipia,Rift Valley,Nanyuki,2016-07-02,2020-09-29,True
STR019,Carrefour Eldoret Branch,Carrefour,Express,1580,Uasin Gishu,Rift Valley,Eldoret,2019-11-30,2023-07-13,True
STR020,Carrefour Meru Town Branch,Carrefour,Express,1405,Meru,Eastern,Meru Town,2019-12-17,2025-02-23,True
STR021,Quickmart Athi River Branch,Quickmart,Supermarket,3505,Machakos,Eastern,Athi River,2019-03-06,2022-12-13,True
