Brand,Category,Product,Unit,PackSize,ShelfLifeDays
Brookside,Dairy,Fresh Milk,Bottle,500ml,7
Brookside,Dairy,Fresh Milk,Bottle,1L,7
Brookside,Dairy,Long Life Milk,Packet,500ml,180
Brookside,Dairy,Long Life Milk,Packet,1L,180

Ilara,Dairy,Fresh Milk,Bottle,500ml,7
Ilara,Dairy,Fresh Milk,Bottle,1L,7

Molo Milk,Dairy,Fresh Milk,Bottle,500ml,7
Molo Milk,Dairy,Fresh Milk,Bottle,1L,7

Brookside Yoghurt,Dairy,Yoghurt,Cup,150ml,21
Brookside Yoghurt,Dairy,Yoghurt,Cup,250ml,21
Brookside Yoghurt,Dairy,Yoghurt,Cup,500ml,21

Brookside Mala,Dairy,Mala,Bottle,500ml,14
Brookside Mala,Dairy,Mala,Bottle,1L,14

Daima,Dairy,Fresh Milk,Bottle,500ml,7
Daima,Dairy,Fresh Milk,Bottle,1L,7

KCC,Dairy,Fresh Milk,Bottle,500ml,7
KCC,Dairy,Fresh Milk,Bottle,1L,7
KCC,Dairy,Butter,Packet,250g,120

Tuzo,Dairy,Fresh Milk,Bottle,500ml,7
Tuzo,Dairy,Fresh Milk,Bottle,1L,7

Fresha,Dairy,Fresh Milk,Bottle,500ml,7
Fresha,Dairy,Fresh Milk,Bottle,1L,7

Happy Cow,Dairy,Fresh Milk,Bottle,500ml,7
Happy Cow,Dairy,Fresh Milk,Bottle,1L,7
Happy Cow,Dairy,Cheese,Packet,250g,180

Delamere,Dairy,Fresh Milk,Bottle,500ml,7
Delamere,Dairy,Fresh Milk,Bottle,1L,7
Delamere,Dairy,Yoghurt,Cup,250ml,21

Lato,Dairy,Fresh Milk,Bottle,500ml,7
Lato,Dairy,Fresh Milk,Bottle,1L,7

Blue Band,Dairy,Margarine,Tub,250g,365
Blue Band,Dairy,Margarine,Tub,500g,365

Jogoo,Grocery,Maize Flour,Packet,1kg,365
Jogoo,Grocery,Maize Flour,Packet,2kg,365

Hostess,Grocery,Wheat Flour,Packet,1kg,365
Hostess,Grocery,Wheat Flour,Packet,2kg,365

Ajab,Grocery,Wheat Flour,Packet,1kg,365
Ajab,Grocery,Wheat Flour,Packet,2kg,365

Amaize,Grocery,Maize Flour,Packet,1kg,365
Amaize,Grocery,Maize Flour,Packet,2kg,365

Soko,Grocery,Sugar,Packet,1kg,365
Soko,Grocery,Sugar,Packet,2kg,365

Pembe,Grocery,Wheat Flour,Packet,1kg,365
Pembe,Grocery,Wheat Flour,Packet,2kg,365

Kimbo,Grocery,Cooking Oil,Bottle,500ml,540
Kimbo,Grocery,Cooking Oil,Bottle,1L,540
Kimbo,Grocery,Cooking Oil,Bottle,2L,540
Kimbo,Grocery,Cooking Oil,Bottle,5L,540

Mumias,Grocery,Sugar,Packet,1kg,365
Mumias,Grocery,Sugar,Packet,2kg,365

Kabras,Grocery,Sugar,Packet,1kg,365
Kabras,Grocery,Sugar,Packet,2kg,365

Raha,Grocery,Rice,Packet,1kg,365
Raha,Grocery,Rice,Packet,2kg,365
Raha,Grocery,Rice,Packet,5kg,365

Bidco,Grocery,Cooking Oil,Bottle,500ml,540
Bidco,Grocery,Cooking Oil,Bottle,1L,540
Bidco,Grocery,Cooking Oil,Bottle,2L,540
Bidco,Grocery,Cooking Oil,Bottle,5L,540

Elianto,Grocery,Cooking Oil,Bottle,500ml,540
Elianto,Grocery,Cooking Oil,Bottle,1L,540
Elianto,Grocery,Cooking Oil,Bottle,2L,540

Fresh Fri,Grocery,Cooking Oil,Bottle,500ml,540
Fresh Fri,Grocery,Cooking Oil,Bottle,1L,540
Fresh Fri,Grocery,Cooking Oil,Bottle,2L,540
Fresh Fri,Grocery,Cooking Oil,Bottle,5L,540

Golden Fry,Grocery,Cooking Oil,Bottle,500ml,540
Golden Fry,Grocery,Cooking Oil,Bottle,1L,540
Golden Fry,Grocery,Cooking Oil,Bottle,2L,540

Rina,Grocery,Cooking Oil,Bottle,500ml,540
Rina,Grocery,Cooking Oil,Bottle,1L,540
Rina,Grocery,Cooking Oil,Bottle,2L,540

Kasuku,Grocery,Salt,Packet,500g,730
Kasuku,Grocery,Salt,Packet,1kg,730

Exe,Grocery,Rice,Packet,1kg,365
Exe,Grocery,Rice,Packet,2kg,365
Exe,Grocery,Rice,Packet,5kg,365

Crown,Grocery,Rice,Packet,1kg,365
Crown,Grocery,Rice,Packet,2kg,365

Top Fry,Grocery,Cooking Oil,Bottle,500ml,540
Top Fry,Grocery,Cooking Oil,Bottle,1L,540
Top Fry,Grocery,Cooking Oil,Bottle,2L,540

Cerevita,Grocery,Porridge Flour,Packet,500g,365
Cerevita,Grocery,Porridge Flour,Packet,1kg,365

Ndovu,Grocery,Salt,Packet,500g,730
Ndovu,Grocery,Salt,Packet,1kg,730

Kensalt,Grocery,Salt,Packet,500g,730
Kensalt,Grocery,Salt,Packet,1kg,730

Coca-Cola,Beverages,Soda,Bottle,300ml,365
Coca-Cola,Beverages,Soda,Bottle,500ml,365
Coca-Cola,Beverages,Soda,Bottle,1L,365
