County,Town
Nairobi,Nairobi CBD
Nairobi,Westlands
Nairobi,Eastleigh
Nairobi,Kasarani
Nairobi,Karen
Nairobi,Kilimani
Nairobi,Ruaka
Kiambu,Thika
Kiambu,Ruiru
Kiambu,Kiambu Town
Kiambu,Kikuyu
Machakos,Machakos Town
Machakos,Athi River
Machakos,Mlolongo
Meru,Meru Town
Meru,Maua
Meru,Makutano
Nakuru,Nakuru Town
Nakuru,Naivasha
Nakuru,Gilgil
Uasin Gishu,Eldoret
Kisumu,Kisumu City
Kakamega,Kakamega Town
Nyeri,Nyeri Town
Murang'a,Murang'a Town
Kirinyaga,Kerugoya
Embu,Embu Town
Mombasa,Mombasa CBD
Mombasa,Nyali
Kilifi,Kilifi Town
Kwale,Diani
Bungoma,Bungoma Town
Trans Nzoia,Kitale
Laikipia,Nanyuki
Kajiado,Kitengela
Kajiado,Ngong
